model,image_size,inference_batch_size,backprop_batch_size,inference_img_per_sec,backprop_img_per_sec
swin_large_patch4_window12_384,384,0,0,0.0,0.0
swin_large_patch4_window12_384_in22k,384,0,0,0.0,0.0
swin_large_patch4_window7_224,224,512,24,237.77,41.96
swin_large_patch4_window7_224_in22k,224,512,24,238.14,38.37
swin_small_patch4_window7_224,224,512,48,774.39,114.28
swin_tiny_patch4_window7_224,224,512,80,6286.65,220.51
swsl_resnet18,224,512,448,109450.09,1857.08
swsl_resnet50,224,512,144,41713.29,365.74
swsl_resnext101_32x16d,224,320,26,279.45,42.16
swsl_resnext101_32x4d,224,512,72,3592.58,142.59
swsl_resnext101_32x8d,224,512,48,1297.46,83.96
swsl_resnext50_32x4d,224,512,112,32701.8,317.51
tv_resnet101,224,512,104,1693.31,217.9
tv_resnet152,224,512,72,823.23,152.5
tv_resnet34,224,512,288,82013.02,742.23
tv_resnet50,224,512,144,43575.71,365.51
tv_resnext50_32x4d,224,512,112,39600.77,318.99
vit_base_patch16_224,224,512,68,3865.84,92.36
vit_base_patch16_224_in21k,224,512,68,3863.94,92.28
vit_base_patch16_224_miil,224,512,68,3865.34,93.29
vit_base_patch16_224_miil_in21k,224,512,68,3870.94,93.13
vit_base_patch16_384,384,256,68,3878.56,92.24
vit_base_patch16_sam_224,224,512,68,3864.36,92.31
vit_base_patch32_224,224,512,272,9915.95,459.03
vit_base_patch32_224_in21k,224,512,272,9941.46,379.14
vit_base_patch32_384,384,256,256,7499.44,377.05
vit_base_patch32_sam_224,224,512,272,9850.56,379.67
vit_base_patch8_224,224,224,13,798.97,22.31
vit_base_patch8_224_in21k,224,224,13,798.96,18.45
vit_base_r50_s16_224_in21k,224,512,48,370.3,62.66
vit_base_r50_s16_384,384,256,48,372.18,60.95
vit_huge_patch14_224_in21k,224,512,10,46.72,11.13
vit_large_patch16_224,224,512,24,151.51,30.12
vit_large_patch16_224_in21k,224,512,24,152.0,27.97
vit_large_patch16_384,384,256,24,151.47,27.96
vit_large_patch32_224,224,512,96,614.77,124.3
vit_large_patch32_224_in21k,224,512,96,614.22,115.39
vit_large_patch32_384,384,256,96,613.17,115.35
vit_large_r50_s32_224,224,512,60,327.91,71.46
vit_large_r50_s32_224_in21k,224,512,60,328.55,69.62
vit_large_r50_s32_384,384,256,60,326.52,69.67
vit_small_patch16_224,224,512,136,12634.31,270.19
vit_small_patch16_224_in21k,224,512,136,12661.08,270.22
vit_small_patch16_384,384,256,136,12684.59,270.18
vit_small_patch32_224,224,512,512,31111.38,1352.34
vit_small_patch32_224_in21k,224,512,512,30964.84,1130.61
vit_small_patch32_384,384,256,256,45982.03,1092.57
vit_small_r26_s32_224,224,512,176,1936.64,264.11
vit_small_r26_s32_224_in21k,224,512,176,1935.86,235.9
vit_small_r26_s32_384,384,256,176,2005.25,235.88
vit_tiny_patch16_224,224,512,272,35649.98,689.67
vit_tiny_patch16_224_in21k,224,512,272,35428.25,689.32
vit_tiny_patch16_384,384,256,256,36666.92,682.59
vit_tiny_r_s16_p8_224,224,512,512,43805.34,1673.6
vit_tiny_r_s16_p8_224_in21k,224,512,512,43877.54,1405.99
vit_tiny_r_s16_p8_384,384,256,256,46018.82,1392.0
wide_resnet101_2,224,512,72,762.53,121.55
wide_resnet50_2,224,512,104,43005.87,250.57
