model,image_size,inference_batch_size,backprop_batch_size,inference_img_per_sec,backprop_img_per_sec
resnet18,224.0,512.0,448.0,90544.9,3679.11
resnet18d,224.0,512.0,384.0,81473.69,2454.76
resnet26,224.0,512.0,224.0,62382.12,1244.43
resnet26d,224.0,512.0,208.0,60203.07,1031.32
resnet26t,256.0,512.0,160.0,59785.18,859.8
resnet34,224.0,512.0,288.0,56662.83,1073.2
resnet34d,224.0,512.0,272.0,54869.06,841.16
resnet50,224.0,512.0,144.0,32537.47,495.56
resnet50_gn,224.0,512.0,144.0,538.0,195.61
resnet50d,224.0,512.0,136.0,33127.4,453.08
resnet101,224.0,512.0,104.0,1381.57,251.07
resnet101d,256.0,512.0,72.0,1013.36,190.91
resnet152,224.0,512.0,72.0,714.76,166.25
resnet152d,256.0,512.0,52.0,544.83,121.57
resnet200d,256.0,512.0,36.0,372.97,87.55
resnetblur50,224.0,512.0,136.0,34193.78,441.31
resnetrs50,160.0,1024.0,224.0,6409.44,667.09
resnetrs101,192.0,1024.0,104.0,1418.74,250.61
resnetrs152,256.0,512.0,40.0,388.86,98.58
resnetrs200,256.0,512.0,30.0,285.55,69.29
resnetrs270,256.0,512.0,22.0,216.8,46.25
resnetrs350,288.0,256.0,14.0,139.79,27.86
resnetrs420,320.0,256.0,9.0,91.46,16.89
resnext50_32x4d,224.0,512.0,112.0,28652.98,508.91
resnext50d_32x4d,224.0,512.0,104.0,29570.98,473.18
resnext101_32x8d,224.0,512.0,48.0,1052.5,83.46
seresnet50,224.0,512.0,120.0,4299.46,374.35
seresnet152d,256.0,512.0,44.0,392.79,99.12
seresnext26d_32x4d,224.0,512.0,136.0,31095.31,3082.86
seresnext26t_32x4d,224.0,512.0,144.0,34195.78,3527.45
seresnext50_32x4d,224.0,512.0,96.0,19280.81,267.16
ssl_resnet18,224.0,512.0,448.0,92048.16,1838.77
ssl_resnet50,224.0,512.0,144.0,33782.29,363.54
ssl_resnext50_32x4d,224.0,512.0,112.0,30343.83,318.69
ssl_resnext101_32x4d,224.0,512.0,72.0,2605.34,174.46
ssl_resnext101_32x8d,224.0,512.0,48.0,1039.68,83.41
ssl_resnext101_32x16d,224.0,416.0,26.0,249.66,41.61
swsl_resnet18,224.0,512.0,448.0,93943.41,1836.77
swsl_resnet50,224.0,512.0,144.0,35472.34,363.69
swsl_resnext50_32x4d,224.0,512.0,112.0,25009.81,318.81
swsl_resnext101_32x4d,224.0,512.0,72.0,2600.16,142.19
swsl_resnext101_32x8d,224.0,512.0,48.0,1039.21,83.4
swsl_resnext101_32x16d,224.0,416.0,26.0,248.91,41.59
tv_resnet34,224.0,512.0,288.0,59756.34,731.66
tv_resnet50,224.0,512.0,144.0,30023.82,364.14
tv_resnet101,224.0,512.0,104.0,1389.41,217.45
tv_resnet152,224.0,512.0,72.0,721.93,151.82
tv_resnext50_32x4d,224.0,512.0,112.0,29683.38,318.03
wide_resnet50_2,224.0,512.0,104.0,34619.71,247.57
wide_resnet101_2,224.0,512.0,72.0,635.18,119.86
