model,image_size,inference_batch_size,backprop_batch_size,inference_img_per_sec,backprop_img_per_sec
resnet18,224,832,240,342168.35,326.47
resnet18d,224,896,208,382620.28,214.55
resnet26,224,576,112,223399.73,108.89
resnet26d,224,576,96,1935.74,99.03
resnet26t,256,448,72,171482.51,78.39
resnet34,224,832,160,1032.63,124.28
resnet34d,224,896,144,208570.7,106.0
resnet50,224,576,72,2886.64,54.4
resnet50d,224,576,68,2874.58,51.26
resnet101,224,576,48,189.41,34.01
